id,nom,profession,revenu_mensuel,score_interet,jours_depuis_interaction,lead_score,categorie
2,Client_2,Medecin,18921.0,88,16.0,86.9,Chaud
88,Client_88,Ingenieur,15700.0,99,16.0,86.8,Chaud
95,Client_95,Ingenieur,19600.0,95,33.0,84.8,Chaud
16,Client_16,Commercial,17800.0,99,36.0,82.4,Chaud
9,Client_9,Commercial,16500.0,78,5.0,82.0,Chaud
56,Client_56,Ingenieur,19900.0,91,43.0,79.2,Chaud
41,Client_41,Commercial,11800.0,87,6.0,77.8,Chaud
64,Client_64,Professeur,18600.0,56,4.0,74.9,Chaud
43,Client_43,Ingenieur,18100.0,54,3.0,73.4,Chaud
86,Client_86,Commercial,18300.0,53,3.0,73.3,Chaud
26,Client_26,Medecin,11200.0,77,2.0,73.2,Chaud
81,Client_81,Comptable,14800.0,97,44.0,72.7,Chaud
70,Client_70,Professeur,11400.0,75,6.0,70.9,Chaud
7,Client_7,Medecin,19200.0,55,19.0,69.4,Tiede
13,Client_13,Medecin,11000.0,81,16.0,69.2,Tiede
72,Client_72,Etudiant,6600.0,93,15.0,67.9,Tiede
54,Client_54,Commercial,17600.0,72,38.0,67.4,Tiede
11,Client_11,Ingenieur,14200.0,63,12.0,67.4,Tiede
48,Client_48,Commercial,16200.0,79,41.0,67.3,Tiede
24,Client_24,Ingenieur,7100.0,90,15.0,67.2,Tiede
31,Client_31,Ingenieur,15800.0,84,49.0,65.8,Tiede
63,Client_63,Ingenieur,12700.0,94,49.0,65.4,Tiede
93,Client_93,Commercial,17400.0,74,45.0,65.2,Tiede
28,Client_28,Commercial,18400.0,46,17.0,64.2,Tiede
19,Client_19,Professeur,9300.0,73,11.0,64.1,Tiede
44,Client_44,Professeur,7500.0,98,36.0,63.5,Tiede
22,Client_22,Commercial,4800.0,85,8.0,63.4,Tiede
33,Client_33,Medecin,10500.0,96,47.0,63.3,Tiede
85,Client_85,Etudiant,12900.0,88,50.0,62.3,Tiede
5,Client_5,Ingenieur,7800.0,92,33.0,62.2,Tiede
67,Client_67,Commercial,10200.0,89,42.0,61.2,Tiede
66,Client_66,Etudiant,16800.0,38,10.0,60.1,Tiede
50,Client_50,Ingenieur,11400.0,86,47.0,59.8,Tiede
76,Client_76,Ingenieur,19100.0,35,20.0,58.6,Tiede
30,Client_30,Inconnu,11400.0,52,10.0,57.6,Tiede
46,Client_46,Medecin,12100.0,64,30.0,56.8,Tiede
60,Client_60,Inconnu,11400.0,83,51.0,56.7,Tiede
35,Client_35,Commercial,13900.0,59,32.0,56.6,Tiede
36,Client_36,Comptable,17200.0,25,9.0,54.6,Tiede
57,Client_57,Professeur,9100.0,49,5.0,54.0,Tiede
92,Client_92,Etudiant,13700.0,36,9.0,53.9,Tiede
18,Client_18,Ingenieur,15100.0,48,31.0,53.6,Tiede
58,Client_58,Medecin,11500.0,66,39.0,53.1,Tiede
82,Client_82,Ingenieur,16600.0,26,14.0,52.0,Tiede
39,Client_39,Medecin,9700.0,70,40.0,51.5,Tiede
83,Client_83,Professeur,9400.0,71,40.0,51.5,Tiede
53,Client_53,Etudiant,13100.0,34,12.0,50.6,Tiede
77,Client_77,Professeur,8800.0,80,51.0,50.5,Tiede
74,Client_74,Comptable,17900.0,20,18.0,49.6,Tiede
68,Client_68,Comptable,5800.0,62,19.0,49.0,Tiede
21,Client_21,Etudiant,12600.0,61,50.0,48.0,Tiede
37,Client_37,Ingenieur,5100.0,82,44.0,47.8,Tiede
98,Client_98,Etudiant,5200.0,60,17.0,47.7,Tiede
61,Client_61,Commercial,15200.0,40,37.0,47.2,Tiede
99,Client_99,Commercial,14400.0,41,35.0,47.1,Tiede
96,Client_96,Professeur,8100.0,50,20.0,46.6,Tiede
45,Client_45,Inconnu,14900.0,21,14.0,46.4,Tiede
91,Client_91,Medecin,6300.0,65,32.0,46.1,Tiede
71,Client_71,Medecin,11300.0,47,33.0,45.5,Tiede
73,Client_73,Commercial,13600.0,51,48.0,45.5,Tiede
1,Client_1,Professeur,15432.0,42,46.0,45.0,Tiede
75,Client_75,Inconnu,4100.0,69,31.0,44.6,Tiede
4,Client_4,Comptable,12300.0,31,20.0,44.4,Tiede
15,Client_15,Inconnu,13400.0,50,51.0,43.4,Tiede
38,Client_38,Professeur,19400.0,3,20.0,42.8,Tiede
52,Client_52,Medecin,6800.0,58,35.0,42.2,Tiede
25,Client_25,Professeur,14500.0,33,38.0,42.0,Tiede
34,Client_34,Etudiant,6400.0,41,13.0,41.8,Tiede
47,Client_47,Etudiant,3800.0,45,8.0,41.2,Tiede
3,Client_3,Commercial,4500.0,67,39.0,41.1,Tiede
29,Client_29,Comptable,3600.0,68,37.0,40.8,Tiede
10,Client_10,Comptable,11400.0,44,41.0,40.8,Tiede
89,Client_89,Professeur,10100.0,44,37.0,40.2,Tiede
79,Client_79,Etudiant,5500.0,57,36.0,39.0,Froid
23,Client_23,Comptable,19700.0,5,35.0,38.2,Froid
90,Client_90,Inconnu,11400.0,18,18.0,37.0,Froid
80,Client_80,Commercial,11400.0,43,51.0,36.2,Froid
78,Client_78,Medecin,12400.0,1,7.0,34.6,Froid
0,Client_0,Inconnu,11400.0,4,7.0,34.3,Froid
97,Client_97,Medecin,11700.0,27,39.0,33.5,Froid
32,Client_32,Professeur,8200.0,11,4.0,33.4,Froid
69,Client_69,Ingenieur,14100.0,23,46.0,32.9,Froid
49,Client_49,Comptable,8600.0,13,11.0,32.3,Froid
59,Client_59,Etudiant,4400.0,28,17.0,30.0,Froid
20,Client_20,Medecin,11400.0,29,51.0,29.1,Froid
12,Client_12,Professeur,8900.0,22,34.0,28.0,Froid
51,Client_51,Professeur,10900.0,2,19.0,27.5,Froid
14,Client_14,Etudiant,5600.0,37,40.0,27.3,Froid
62,Client_62,Comptable,7900.0,7,13.0,27.1,Froid
17,Client_17,Comptable,6200.0,14,18.0,25.6,Froid
87,Client_87,Comptable,7200.0,32,47.0,24.8,Froid
42,Client_42,Comptable,4200.0,39,45.0,23.8,Froid
94,Client_94,Comptable,4900.0,8,11.0,23.1,Froid
55,Client_55,Comptable,5300.0,10,16.0,22.8,Froid
40,Client_40,Etudiant,11400.0,12,51.0,20.4,Froid
84,Client_84,Medecin,3900.0,6,12.0,19.9,Froid
27,Client_27,Etudiant,5900.0,19,43.0,17.4,Froid
6,Client_6,Professeur,5400.0,15,42.0,14.9,Froid
65,Client_65,Medecin,3300.0,16,34.0,14.9,Froid
8,Client_8,Etudiant,3100.0,9,48.0,5.3,Froid
